month,cv,professions,regions,industries,vacancy,invitation,response,added
202312,data-20231226T042006-structure-20161130T143000.xml.gz,data-20231226T043723-structure-20161130T143000.xml.gz,data-20231226T043723-structure-20161130T143000.xml.gz,data-20231226T043723-structure-20161130T143000.xml.gz,data-20231225T192145-structure-20161130T143000.xml.gz,data-20231226T093803-structure-20161130T143000.xml.gz,data-20231226T093803-structure-20161130T143000.xml.gz,True
202311,data-20231130T041201-structure-20161130T143000.xml.gz,data-20231130T043931-structure-20161130T143000.xml.gz,data-20231130T043931-structure-20161130T143000.xml.gz,data-20231130T043931-structure-20161130T143000.xml.gz,data-20231130T192410-structure-20161130T143000.xml.gz,data-20231130T093954-structure-20161130T143000.xml.gz,data-20231130T093954-structure-20161130T143000.xml.gz,True
202310,data-20231031T035316-structure-20161130T143000.xml.gz,data-20231031T043756-structure-20161130T143000.xml.gz,data-20231031T043756-structure-20161130T143000.xml.gz,data-20231031T043756-structure-20161130T143000.xml.gz,data-20231031T192008-structure-20161130T143000.xml.gz,data-20231031T093701-structure-20161130T143000.xml.gz,data-20231031T093701-structure-20161130T143000.xml.gz,True
202309,data-20230929T030358-structure-20161130T143000.xml.gz,data-20230930T043133-structure-20161130T143000.xml.gz,data-20230930T043133-structure-20161130T143000.xml.gz,data-20230930T043133-structure-20161130T143000.xml.gz,data-20230930T191440-structure-20161130T143000.xml.gz,data-20230930T093700-structure-20161130T143000.xml.gz,data-20230930T093700-structure-20161130T143000.xml.gz,False
202308,data-20230831T054923-structure-20161130T143000.xml.gz,data-20230831T081254-structure-20161130T143000.xml.gz,data-20230831T081254-structure-20161130T143000.xml.gz,data-20230831T081254-structure-20161130T143000.xml.gz,data-20230831T214739-structure-20161130T143000.xml.gz,data-20230831T093831-structure-20161130T143000.xml.gz,data-20230831T093831-structure-20161130T143000.xml.gz,True
202307,data-20230730T061722-structure-20161130T143000.xml.gz,data-20230731T090248-structure-20161130T143000.xml.gz,data-20230731T090248-structure-20161130T143000.xml.gz,data-20230731T090248-structure-20161130T143000.xml.gz,data-20230731T213716-structure-20161130T143000.xml.gz,data-20230731T093517-structure-20161130T143000.xml.gz,data-20230731T093517-structure-20161130T143000.xml.gz,True
202306,data-20230629T061427-structure-20161130T143000.xml.gz,data-20230630T113207-structure-20161130T143000.xml.gz,data-20230630T113207-structure-20161130T143000.xml.gz,data-20230630T113207-structure-20161130T143000.xml.gz,data-20230630T215531-structure-20161130T143000.xml.gz,data-20230630T093807-structure-20161130T143000.xml.gz,data-20230630T093807-structure-20161130T143000.xml.gz,True
202305,data-20230531T034138-structure-20161130T143000.xml.gz,data-20230530T082118-structure-20161130T143000.xml.gz,data-20230530T082118-structure-20161130T143000.xml.gz,data-20230530T082118-structure-20161130T143000.xml.gz,data-20230531T215352-structure-20161130T143000.xml.gz,data-20230531T093159-structure-20161130T143000.xml.gz,data-20230531T093159-structure-20161130T143000.xml.gz,True
202304,data-20230430T060257-structure-20161130T143000.xml.gz,data-20230430T081631-structure-20161130T143000.xml.gz,data-20230430T081631-structure-20161130T143000.xml.gz,data-20230430T081631-structure-20161130T143000.xml.gz,data-20230430T211050-structure-20161130T143000.xml.gz,data-20230430T092931-structure-20161130T143000.xml.gz,data-20230430T092931-structure-20161130T143000.xml.gz,True
202303,data-20230331T041626-structure-20161130T143000.xml.gz,data-20230331T082423-structure-20161130T143000.xml.gz,data-20230331T082423-structure-20161130T143000.xml.gz,data-20230331T082423-structure-20161130T143000.xml.gz,data-20230331T212355-structure-20161130T143000.xml.gz,data-20230331T005556-structure-20161130T143000.xml.gz,data-20230331T005556-structure-20161130T143000.xml.gz,True
202302,data-20230228T063927-structure-20161130T143000.xml.gz,data-20230228T084133-structure-20161130T143000.xml.gz,data-20230228T084133-structure-20161130T143000.xml.gz,data-20230228T084133-structure-20161130T143000.xml.gz,data-20230228T115518-structure-20161130T143000.xml.gz,data-20230228T211658-structure-20161130T143000.xml.gz,data-20230228T211658-structure-20161130T143000.xml.gz,True
202301,data-20230131T052243-structure-20161130T143000.xml.gz,data-20230131T084030-structure-20161130T143000.xml.gz,data-20230131T084030-structure-20161130T143000.xml.gz,data-20230131T084030-structure-20161130T143000.xml.gz,data-20230131T123210-structure-20161130T143000.xml.gz,data-20230131T203354-structure-20161130T143000.xml.gz,data-20230131T203354-structure-20161130T143000.xml.gz,True
202212,data-20221231T051307-structure-20161130T143000.xml.gz,data-20221231T075300-structure-20161130T143000.xml.gz,data-20221231T075300-structure-20161130T143000.xml.gz,data-20221231T075300-structure-20161130T143000.xml.gz,data-20221231T183206-structure-20161130T143000.xml.gz,data-20221231T192406-structure-20161130T143000.xml.gz,data-20221231T192406-structure-20161130T143000.xml.gz,True
