region_code,region_name
72,Тюменская область
68,Тамбовская область
33,Владимирская область
59,Пермский край
89,Ямало-Ненецкий автономный округ
58,Пензенская область
11,Республика Коми
26,Ставропольский край
12,Республика Марий Эл
79,Еврейская автономная область
09,Карачаево-Черкесская Республика
32,Брянская область
03,Республика Бурятия
99,г. Байконур
29,Архангельская область
41,Камчатский край
78,г. Санкт-Петербург
21,Чувашская Республика
76,Ярославская область
71,Тульская область
48,Липецкая область
55,Омская область
42,Кемеровская область
46,Курская область
77,г. Москва
04,Республика Алтай
38,Иркутская область
65,Сахалинская область
25,Приморский край
15,Республика Северная Осетия-Алания
31,Белгородская область
34,Волгоградская область
87,Чукотский автономный округ
56,Оренбургская область
06,Республика Ингушетия
69,Тверская область
37,Ивановская область
83,Ненецкий автономный округ
13,Республика Мордовия
10,Республика Карелия
73,Ульяновская область
07,Кабардино-Балкарская Республика
67,Смоленская область
70,Томская область
57,Орловская область
36,Воронежская область
08,Республика Калмыкия
18,Удмуртская Республика
66,Свердловская область
50,Московская область
52,Нижегородская область
35,Вологодская область
27,Хабаровский край
60,Псковская область
53,Новгородская область
02,Республика Башкортостан
47,Ленинградская область
24,Красноярский край
40,Калужская область
64,Саратовская область
51,Мурманская область
17,Республика Тыва
63,Самарская область
19,Республика Хакасия
43,Кировская область
30,Астраханская область
28,Амурская область
61,Ростовская область
45,Курганская область
20,Чеченская Республика
39,Калининградская область
62,Рязанская область
54,Новосибирская область
49,Магаданская область
01,Республика Адыгея
16,Республика Татарстан
44,Костромская область
22,Алтайский край
75,Забайкальский край
86,Ханты-Мансийский автономный округ - Югра
14,Республика Саха (Якутия)
05,Республика Дагестан
23,Краснодарский край
74,Челябинская область
